solar_data,solar_hashes,dump_data,dump_hashes
A3034KR4301HA26280080023800000044009303356001900024300181002390002577900028550995ÿ,2013-09-27 09:30:33.584623,A3034KR4301HA26280080023800000044009303356001900024300181002390002577900028550995ÿ,2013-09-27 09:30:33.580953
A3034KR4301HA26280080024000000114009283668001900024200181002410002433100026824405ÿ,2013-09-27 09:28:36.715744,A3034KR4301HA26280080024000000114009283668001900024200181002410002433100026824405ÿ,2013-09-27 09:28:36.712285
A3034KR4301HA26280080023700000014009304165001900024300181002380002579700028572325ÿ,2013-09-27 09:30:41.672619,A3034KR4301HA26280080023700000014009304165001900024300181002380002579700028572325ÿ,2013-09-27 09:30:41.667309
A3034KR4301HA26280080023100000144009230396001900023900181002320001930900021215910ÿ,2013-09-27 09:23:03.998658,A3034KR4301HA26280080023100000144009230396001900023900181002320001930900021215910ÿ,2013-09-27 09:23:03.994996
A3034KR4301HA26280080022800000054009280982001900023900181002270002335600025675860ÿ,2013-09-27 09:28:09.857746,A3034KR4301HA26280080022800000054009280982001900023900181002270002335600025675860ÿ,2013-09-27 09:28:09.853543
A3034KR4301HA26280080023500000024009221830001900023900181002340001902300020883385ÿ,2013-09-27 09:22:18.328656,A3034KR4301HA26280080023500000024009221830001900023900181002340001902300020883385ÿ,2013-09-27 09:22:18.326760
A3034KR4301HA26280080023500000014009221834001900023900181002340001902400020884560ÿ,2013-09-27 09:22:18.372652,A3034KR4301HA26280080023500000014009221834001900023900181002340001902400020884560ÿ,2013-09-27 09:22:18.365658
A3034KR4301HA26280080021100000064009245233001900023900181002120002082200022870750ÿ,2013-09-27 09:24:52.363749,A3034KR4301HA26280080021100000064009245233001900023900181002120002082200022870750ÿ,2013-09-27 09:24:52.363662
A3034KR4301HA26280080023200000014009225142001900023900181002330001923100021125795ÿ,2013-09-27 09:22:51.449652,A3034KR4301HA26280080023200000014009225142001900023900181002330001923100021125795ÿ,2013-09-27 09:22:51.443775
A3034KR4301HA26280080021200000014009243053001900023900181002130002066600022705160ÿ,2013-09-27 09:24:30.558746,A3034KR4301HA26280080021200000014009243053001900023900181002130002066600022705160ÿ,2013-09-27 09:24:30.557184
A3034KR4301HA26280080023400000014009282639001900023900181002350002368200026052695ÿ,2013-09-27 09:28:26.462746,A3034KR4301HA26280080023400000014009282639001900023900181002350002368200026052695ÿ,2013-09-27 09:28:26.456132
A3034KR4301HA26280080023600000024009285377001900024200181002370002456700027105105ÿ,2013-09-27 09:28:53.814622,A3034KR4301HA26280080023600000024009285377001900024200181002370002456700027105105ÿ,2013-09-27 09:28:53.805594
A3034KR4301HA26280080023600000054009301243001900024300181002370002556300028295120ÿ,2013-09-27 09:30:12.452621,A3034KR4301HA26280080023600000054009301243001900024300181002370002556300028295120ÿ,2013-09-27 09:30:12.444953
A3034KR4301HA26280080021800000014009240225001900023900181002190002008500022081265ÿ,2013-09-27 09:24:02.337744,A3034KR4301HA26280080021800000014009240225001900023900181002190002008500022081265ÿ,2013-09-27 09:24:02.333304
A3034KR4301HA26280080021000000014009250106001900023900181002090002116700023231230ÿ,2013-09-27 09:25:01.099747,A3034KR4301HA26280080021000000014009250106001900023900181002090002116700023231230ÿ,2013-09-27 09:25:01.092951
A3034KR4301HA26280080023200000024009330649001900024300181002310002662300029548365ÿ,2013-09-27 09:33:06.525743,A3034KR4301HA26280080023200000024009330649001900024300181002310002662300029548365ÿ,2013-09-27 09:33:06.516717
A3034KR4301HA26280080021400000084009253710001900023900181002150002145000023532470ÿ,2013-09-27 09:25:37.125713,A3034KR4301HA26280080021400000084009253710001900023900181002150002145000023532470ÿ,2013-09-27 09:25:37.125071
A3034KR4301HA26280080024000000014009283363001900024200181002410002411900026570665ÿ,2013-09-27 09:28:33.682746,A3034KR4301HA26280080024000000014009283363001900024200181002410002411900026570665ÿ,2013-09-27 09:28:33.675658
A3034KR4301HA26280080023800000024009295428001900024300181002370002536700028061145ÿ,2013-09-27 09:29:54.305623,A3034KR4301HA26280080023800000024009295428001900024300181002370002536700028061145ÿ,2013-09-27 09:29:54.304102
A3034KR4301HA26280080021800000014009242124001900023900181002190002021800022226960ÿ,2013-09-27 09:24:21.286749,A3034KR4301HA26280080021800000014009242124001900023900181002190002021800022226960ÿ,2013-09-27 09:24:21.286131
A3034KR4301HA26280080024000000044009283556001900024200181002410002425000026727480ÿ,2013-09-27 09:28:35.594746,A3034KR4301HA26280080024000000044009283556001900024200181002410002425000026727480ÿ,2013-09-27 09:28:35.589349
A3034KR4301HA26280080023700000014009320044001900024300181002360002627900029144165ÿ,2013-09-27 09:32:00.463620,A3034KR4301HA26280080023700000014009320044001900024300181002360002627900029144165ÿ,2013-09-27 09:32:00.462683
A3034KR4301HA26280080023200000144009330623001900024300181002310002661900029543725ÿ,2013-09-27 09:33:06.264743,A3034KR4301HA26280080023200000144009330623001900024300181002310002661900029543725ÿ,2013-09-27 09:33:06.255658
A3034KR4301HA26280080023700000034009321293001900024300181002360002630100029170215ÿ,2013-09-27 09:32:12.946622,A3034KR4301HA26280080023700000034009321293001900024300181002360002630100029170215ÿ,2013-09-27 09:32:12.945773
A3034KR4301HA26280080022800000064009272947001900023900181002270002243800024622170ÿ,2013-09-27 09:27:29.531747,A3034KR4301HA26280080022800000064009272947001900023900181002270002243800024622170ÿ,2013-09-27 09:27:29.525426
A3034KR4301HA26280080024100000024009292372001900024300181002400002506100027696005ÿ,2013-09-27 09:29:23.738620,A3034KR4301HA26280080024100000024009292372001900024300181002400002506100027696005ÿ,2013-09-27 09:29:23.735190
A3034KR4301HA26280080023600000054009322692001900024300181002370002631100029182015ÿ,2013-09-27 09:32:26.957624,A3034KR4301HA26280080023600000054009322692001900024300181002370002631100029182015ÿ,2013-09-27 09:32:26.956290
A3034KR4301HA26280080021500000074009254506001900023900181002140002149900023584885ÿ,2013-09-27 09:25:45.113717,A3034KR4301HA26280080021500000074009254506001900023900181002140002149900023584885ÿ,2013-09-27 09:25:45.109305
A3034KR4301HA26280080022600000014009334244001900024300181002270002701800029999460ÿ,2013-09-27 09:33:42.474681,A3034KR4301HA26280080022600000014009334244001900024300181002270002701800029999460ÿ,2013-09-27 09:33:42.464719
A3034KR4301HA26280080023600000024009292878001900024300181002370002519000027849950ÿ,2013-09-27 09:29:28.814620,A3034KR4301HA26280080023600000024009292878001900024300181002370002519000027849950ÿ,2013-09-27 09:29:28.805345
A3034KR4301HA26280080021200000124009252849001900023900181002130002131900023392165ÿ,2013-09-27 09:25:28.515714,A3034KR4301HA26280080021200000124009252849001900023900181002130002131900023392165ÿ,2013-09-27 09:25:28.512290
A3034KR4301HA26280080022100000014009234979001900023900181002220001978000021747120ÿ,2013-09-27 09:23:49.822651,A3034KR4301HA26280080022100000014009234979001900023900181002220001978000021747120ÿ,2013-09-27 09:23:49.818182
A3034KR4301HA26280080023500000024009301721001900024300181002360002559500028332765ÿ,2013-09-27 09:30:17.243624,A3034KR4301HA26280080023500000024009301721001900024300181002360002559500028332765ÿ,2013-09-27 09:30:17.243189
A3034KR4301HA26280080020900000084009245425001900023900181002100002094300022997600ÿ,2013-09-27 09:24:54.287745,A3034KR4301HA26280080020900000084009245425001900023900181002100002094300022997600ÿ,2013-09-27 09:24:54.279117
A3034KR4301HA26280080023600000044009293044001900024300181002370002520800027871205ÿ,2013-09-27 09:29:30.468619,A3034KR4301HA26280080023600000044009293044001900024300181002370002520800027871205ÿ,2013-09-27 09:29:30.464874
A3034KR4301HA26280080022700000044009273285001900023900181002280002255000024749985ÿ,2013-09-27 09:27:32.890751,A3034KR4301HA26280080022700000044009273285001900023900181002280002255000024749985ÿ,2013-09-27 09:27:32.889775
A3034KR4301HA26280080023900000014009295472001900024300181002380002538200028079070ÿ,2013-09-27 09:29:54.743621,A3034KR4301HA26280080023900000014009295472001900024300181002380002538200028079070ÿ,2013-09-27 09:29:54.740954
A3034KR4301HA26280080022000000034009265566001900023900181002210002217200024324955ÿ,2013-09-27 09:26:55.705719,A3034KR4301HA26280080022000000034009265566001900023900181002210002217200024324955ÿ,2013-09-27 09:26:55.703777
A3034KR4301HA26280080023100000084009274296001900023900181002320002289800025147155ÿ,2013-09-27 09:27:43.011748,A3034KR4301HA26280080023100000084009274296001900023900181002320002289800025147155ÿ,2013-09-27 09:27:43.002950
A3034KR4301HA26280080023200000024009330157001900024300181002330002658900029508955ÿ,2013-09-27 09:33:01.595619,A3034KR4301HA26280080023200000024009330157001900024300181002330002658900029508955ÿ,2013-09-27 09:33:01.594654
A3034KR4301HA26280080023600000014009301059001900024300181002370002555800028289220ÿ,2013-09-27 09:30:10.617619,A3034KR4301HA26280080023600000014009301059001900024300181002370002555800028289220ÿ,2013-09-27 09:30:10.613541
A3034KR4301HA26280080023200000024009330548001900024300181002310002660300029525165ÿ,2013-09-27 09:33:05.499589,A3034KR4301HA26280080023200000024009330548001900024300181002310002660300029525165ÿ,2013-09-27 09:33:05.499300
A3034KR4301HA26280080022900000134009280903001900023900181002300002332400025639450ÿ,2013-09-27 09:28:09.101746,A3034KR4301HA26280080022900000134009280903001900023900181002300002332400025639450ÿ,2013-09-27 09:28:09.097187
A3034KR4301HA26280080023600000024009313332001900024300181002370002605600028880875ÿ,2013-09-27 09:31:33.353623,A3034KR4301HA26280080023600000024009313332001900024300181002370002605600028880875ÿ,2013-09-27 09:31:33.352248
A3034KR4301HA26280080021900000014009235977001900023900181002200002005700022050700ÿ,2013-09-27 09:23:59.800654,A3034KR4301HA26280080021900000014009235977001900023900181002200002005700022050700ÿ,2013-09-27 09:23:59.794249
A3034KR4301HA26280080022600000014009273399001900023900181002270002263500024845965ÿ,2013-09-27 09:27:34.011745,A3034KR4301HA26280080022600000014009273399001900023900181002270002263500024845965ÿ,2013-09-27 09:27:34.009068
A3034KR4301HA26280080022100000024009234701001900023900181002220001967700021633540ÿ,2013-09-27 09:23:47.064652,A3034KR4301HA26280080022100000024009234701001900023900181002220001967700021633540ÿ,2013-09-27 09:23:47.058952
A3034KR4301HA26280080023200000044009275646001900023900181002310002311500025398250ÿ,2013-09-27 09:27:56.495747,A3034KR4301HA26280080023200000044009275646001900023900181002310002311500025398250ÿ,2013-09-27 09:27:56.486520
A3034KR4301HA26280080021900000034009242097001900023900181002200002020300022210610ÿ,2013-09-27 09:24:21.000751,A3034KR4301HA26280080021900000034009242097001900023900181002200002020300022210610ÿ,2013-09-27 09:24:21.000407
A3034KR4301HA26280080021700000154009260703001900023900181002160002167700023777875ÿ,2013-09-27 09:26:07.058715,A3034KR4301HA26280080021700000154009260703001900023900181002160002167700023777875ÿ,2013-09-27 09:26:07.056955
A3034KR4301HA26280080023700000104009315900001900024300181002360002627200029135875ÿ,2013-09-27 09:31:59.034622,A3034KR4301HA26280080023700000104009315900001900024300181002360002627200029135875ÿ,2013-09-27 09:31:59.026954
A3034KR4301HA26280080022900000014009281230001900023900181002300002344600025779395ÿ,2013-09-27 09:28:12.363743,A3034KR4301HA26280080022900000014009281230001900023900181002300002344600025779395ÿ,2013-09-27 09:28:12.353065
A3034KR4301HA26280080021900000044009241339001900023900181002180002015000022152275ÿ,2013-09-27 09:24:13.429746,A3034KR4301HA26280080021900000044009241339001900023900181002180002015000022152275ÿ,2013-09-27 09:24:13.421582
A3034KR4301HA26280080021800000014009240443001900023900181002190002009500022092165ÿ,2013-09-27 09:24:04.451744,A3034KR4301HA26280080021800000014009240443001900023900181002190002009500022092165ÿ,2013-09-27 09:24:04.448249
A3034KR4301HA26280080023200000014009224947001900023900181002330001922300021116505ÿ,2013-09-27 09:22:49.494654,A3034KR4301HA26280080023200000014009224947001900023900181002330001922300021116505ÿ,2013-09-27 09:22:49.486249
A3034KR4301HA26280080023700000014009284476001900024200181002380002450100027026955ÿ,2013-09-27 09:28:44.781745,A3034KR4301HA26280080023700000014009284476001900024200181002380002450100027026955ÿ,2013-09-27 09:28:44.780724
A3034KR4301HA26280080022100000054009264171001900023900181002200002189200024013480ÿ,2013-09-27 09:26:41.739715,A3034KR4301HA26280080022100000054009264171001900023900181002200002189200024013480ÿ,2013-09-27 09:26:41.731309
A3034KR4301HA26280080022400000034009272608001900023900181002230002234500024516805ÿ,2013-09-27 09:27:26.110744,A3034KR4301HA26280080022400000034009272608001900023900181002230002234500024516805ÿ,2013-09-27 09:27:26.106717
A3034KR4301HA26280080023500000044009221870001900023900181002340001903200020893950ÿ,2013-09-27 09:22:18.724654,A3034KR4301HA26280080023500000044009221870001900023900181002340001903200020893950ÿ,2013-09-27 09:22:18.720487
A3034KR4301HA26280080023100000034009282183001900023900181002300002354900025897770ÿ,2013-09-27 09:28:21.857747,A3034KR4301HA26280080023100000034009282183001900023900181002300002354900025897770ÿ,2013-09-27 09:28:21.850835
A3034KR4301HA26280080021100000034009250779001900023900181002100002118900023254375ÿ,2013-09-27 09:25:07.827713,A3034KR4301HA26280080021100000034009250779001900023900181002100002118900023254375ÿ,2013-09-27 09:25:07.818130
A3034KR4301HA26280080023600000014009324763001900024300181002370002643000029323380ÿ,2013-09-27 09:32:47.661622,A3034KR4301HA26280080023600000014009324763001900024300181002370002643000029323380ÿ,2013-09-27 09:32:47.655346
A3034KR4301HA26280080023200000124009282325001900023900181002310002357300025925570ÿ,2013-09-27 09:28:23.276747,A3034KR4301HA26280080023200000124009282325001900023900181002310002357300025925570ÿ,2013-09-27 09:28:23.275542
A3034KR4301HA26280080023800000024009293279001900024300181002360002523100027898425ÿ,2013-09-27 09:29:32.814619,A3034KR4301HA26280080023800000024009293279001900024300181002360002523100027898425ÿ,2013-09-27 09:29:32.809426
A3034KR4301HA26280080023400000044009282666001900023900181002350002371400026090150ÿ,2013-09-27 09:28:26.704744,A3034KR4301HA26280080023400000044009282666001900023900181002350002371400026090150ÿ,2013-09-27 09:28:26.696480
A3034KR4301HA26280080021800000014009262824001900023900181002190002184300023959710ÿ,2013-09-27 09:26:28.276715,A3034KR4301HA26280080021800000014009262824001900023900181002190002184300023959710ÿ,2013-09-27 09:26:28.271700
A3034KR4301HA26280080023700000014009290171001900024200181002360002467600027233265ÿ,2013-09-27 09:29:01.737618,A3034KR4301HA26280080023700000014009290171001900024200181002360002467600027233265ÿ,2013-09-27 09:29:01.729299
A3034KR4301HA26280080023200000034009282373001900023900181002330002359200025947660ÿ,2013-09-27 09:28:23.760745,A3034KR4301HA26280080023200000034009282373001900023900181002330002359200025947660ÿ,2013-09-27 09:28:23.754719
A3034KR4301HA26280080022100000064009270311001900023900181002200002221400024371120ÿ,2013-09-27 09:27:03.143745,A3034KR4301HA26280080022100000064009270311001900023900181002200002221400024371120ÿ,2013-09-27 09:27:03.135658
A3034KR4301HA26280080023100000024009230128001900023900181002320001928800021191645ÿ,2013-09-27 09:23:01.308651,A3034KR4301HA26280080023100000024009230128001900023900181002320001928800021191645ÿ,2013-09-27 09:23:01.305071
A3034KR4301HA26280080021200000064009250897001900023900181002110002122600023293555ÿ,2013-09-27 09:25:09.005715,A3034KR4301HA26280080021200000064009250897001900023900181002110002122600023293555ÿ,2013-09-27 09:25:08.996803
A3034KR4301HA26280080023900000094009295453001900024300181002380002537600028071900ÿ,2013-09-27 09:29:54.567620,A3034KR4301HA26280080023900000094009295453001900024300181002380002537600028071900ÿ,2013-09-27 09:29:54.566365
A3034KR4301HA26280080021300000034009244507001900023900181002140002072400022766835ÿ,2013-09-27 09:24:45.099745,A3034KR4301HA26280080021300000034009244507001900023900181002140002072400022766835ÿ,2013-09-27 09:24:45.093420
A3034KR4301HA26280080024000000054009294623001900024300181002410002530800027990755ÿ,2013-09-27 09:29:46.254621,A3034KR4301HA26280080024000000054009294623001900024300181002410002530800027990755ÿ,2013-09-27 09:29:46.251819
A3034KR4301HA26280080021100000084009245165001900023900181002120002081400022862310ÿ,2013-09-27 09:24:51.671751,A3034KR4301HA26280080021100000084009245165001900023900181002120002081400022862310ÿ,2013-09-27 09:24:51.670129
A3034KR4301HA26280080022100000014009235108001900023900181002200001987100021847485ÿ,2013-09-27 09:23:51.097652,A3034KR4301HA26280080022100000014009235108001900023900181002200001987100021847485ÿ,2013-09-27 09:23:51.096950
A3034KR4301HA26280080021200000024009251631001900023900181002130002128600023357180ÿ,2013-09-27 09:25:16.329715,A3034KR4301HA26280080021200000024009251631001900023900181002130002128600023357180ÿ,2013-09-27 09:25:16.328523
A3034KR4301HA26280080023800000014009284049001900024200181002370002441700026926885ÿ,2013-09-27 09:28:40.537747,A3034KR4301HA26280080023800000014009284049001900024200181002370002441700026926885ÿ,2013-09-27 09:28:40.533426
A3034KR4301HA26280080022300000174009265327001900023900181002240002209900024244365ÿ,2013-09-27 09:26:53.356718,A3034KR4301HA26280080022300000174009265327001900023900181002240002209900024244365ÿ,2013-09-27 09:26:53.356285
A3034KR4301HA26280080023800000024009323103001900024300181002370002638600029271195ÿ,2013-09-27 09:32:31.067620,A3034KR4301HA26280080023800000024009323103001900024300181002370002638600029271195ÿ,2013-09-27 09:32:31.056718
A3034KR4301HA26280080021400000044009253741001900023900181002150002145800023541040ÿ,2013-09-27 09:25:37.437713,A3034KR4301HA26280080021400000044009253741001900023900181002150002145800023541040ÿ,2013-09-27 09:25:37.436014
A3034KR4301HA26280080024100000014009290988001900024200181002400002482000027405190ÿ,2013-09-27 09:29:09.957621,A3034KR4301HA26280080024100000014009290988001900024200181002400002482000027405190ÿ,2013-09-27 09:29:09.949544
A3034KR4301HA26280080021900000054009261601001900023900181002180002176000023868570ÿ,2013-09-27 09:26:16.037713,A3034KR4301HA26280080021900000054009261601001900023900181002180002176000023868570ÿ,2013-09-27 09:26:16.031305
A3034KR4301HA26280080023800000044009292795001900024300181002390002516700027822715ÿ,2013-09-27 09:29:27.979620,A3034KR4301HA26280080023800000044009292795001900024300181002390002516700027822715ÿ,2013-09-27 09:29:27.975306
A3034KR4301HA26280080023700000034009313930001900024300181002360002622000029074345ÿ,2013-09-27 09:31:39.331621,A3034KR4301HA26280080023700000034009313930001900024300181002360002622000029074345ÿ,2013-09-27 09:31:39.322364
A3034KR4301HA26280080021300000024009244981001900023900181002140002073300022776420ÿ,2013-09-27 09:24:49.835743,A3034KR4301HA26280080021300000024009244981001900023900181002140002073300022776420ÿ,2013-09-27 09:24:49.831892
A3034KR4301HA26280080023100000024009275192001900023900181002320002302200025290500ÿ,2013-09-27 09:27:51.945746,A3034KR4301HA26280080023100000024009275192001900023900181002320002302200025290500ÿ,2013-09-27 09:27:51.944570
A3034KR4301HA26280080023400000034009221962001900023900181002350001905900020925540ÿ,2013-09-27 09:22:19.647651,A3034KR4301HA26280080023400000034009221962001900023900181002350001905900020925540ÿ,2013-09-27 09:22:19.637896
A3034KR4301HA26280080024000000084009283678001900024200181002410002434200026837620ÿ,2013-09-27 09:28:36.802747,A3034KR4301HA26280080024000000084009283678001900024200181002410002434200026837620ÿ,2013-09-27 09:28:36.800601
A3034KR4301HA26280080022100000014009235078001900023900181002200001984800021822105ÿ,2013-09-27 09:23:50.811653,A3034KR4301HA26280080022100000014009235078001900023900181002200001984800021822105ÿ,2013-09-27 09:23:50.805778
A3034KR4301HA26280080024000000034009283307001900024100181002390002407300026515455ÿ,2013-09-27 09:28:33.132749,A3034KR4301HA26280080024000000034009283307001900024100181002390002407300026515455ÿ,2013-09-27 09:28:33.129543
A3034KR4301HA26280080021200000164009242911001900023900181002110002052000022550280ÿ,2013-09-27 09:24:29.140746,A3034KR4301HA26280080021200000164009242911001900023900181002110002052000022550280ÿ,2013-09-27 09:24:29.131931
A3034KR4301HA26280080023400000024009282641001900023900181002350002368400026055035ÿ,2013-09-27 09:28:26.484748,A3034KR4301HA26280080023400000024009282641001900023900181002350002368400026055035ÿ,2013-09-27 09:28:26.478952
A3034KR4301HA26280080023600000034009301734001900024300181002350002560300028342205ÿ,2013-09-27 09:30:17.375623,A3034KR4301HA26280080023600000034009301734001900024300181002350002560300028342205ÿ,2013-09-27 09:30:17.369946
A3034KR4301HA26280080021700000094009260669001900023900181002160002166100023760515ÿ,2013-09-27 09:26:06.719715,A3034KR4301HA26280080021700000094009260669001900023900181002160002166100023760515ÿ,2013-09-27 09:26:06.714289
A3034KR4301HA26280080023400000014009282736001900023900181002350002376600026151055ÿ,2013-09-27 09:28:27.385746,A3034KR4301HA26280080023400000014009282736001900023900181002350002376600026151055ÿ,2013-09-27 09:28:27.382368
A3034KR4301HA26280080023900000014009283455001900024200181002400002416200026622070ÿ,2013-09-27 09:28:34.583746,A3034KR4301HA26280080023900000014009283455001900024200181002400002416200026622070ÿ,2013-09-27 09:28:34.581573
A3034KR4301HA26280080023800000074009290479001900024200181002390002475700027329620ÿ,2013-09-27 09:29:04.814622,A3034KR4301HA26280080023800000074009290479001900024200181002390002475700027329620ÿ,2013-09-27 09:29:04.812016
A3034KR4301HA26280080023400000044009285901001900024200181002350002460200027146175ÿ,2013-09-27 09:28:59.045620,A3034KR4301HA26280080023400000044009285901001900024200181002350002460200027146175ÿ,2013-09-27 09:28:59.034867
A3034KR4301HA26280080023900000014009283395001900024200181002410002413000026583820ÿ,2013-09-27 09:28:33.989745,A3034KR4301HA26280080023900000014009283395001900024200181002410002413000026583820ÿ,2013-09-27 09:28:33.983228
A3034KR4301HA26280080024000000014009283313001900024100181002410002408300026527465ÿ,2013-09-27 09:28:33.198744,A3034KR4301HA26280080024000000014009283313001900024100181002410002408300026527465ÿ,2013-09-27 09:28:33.190127
A3034KR4301HA26280080023800000024009290734001900024200181002390002476200027335570ÿ,2013-09-27 09:29:07.364621,A3034KR4301HA26280080023800000024009290734001900024200181002390002476200027335570ÿ,2013-09-27 09:29:07.364016
A3034KR4301HA26280080022600000074009273357001900023900181002270002262800024838050ÿ,2013-09-27 09:27:33.638745,A3034KR4301HA26280080022600000074009273357001900023900181002270002262800024838050ÿ,2013-09-27 09:27:33.628714
A3034KR4301HA26280080023200000024009225044001900023900181002330001922500021118825ÿ,2013-09-27 09:22:50.460651,A3034KR4301HA26280080023200000024009225044001900023900181002330001922500021118825ÿ,2013-09-27 09:22:50.455777
A3034KR4301HA26280080023600000124009283086001900023900181002350002388400026289625ÿ,2013-09-27 09:28:30.890749,A3034KR4301HA26280080023600000124009283086001900023900181002350002388400026289625ÿ,2013-09-27 09:28:30.888601
A3034KR4301HA26280080024100000034009292123001900024300181002420002505300027686380ÿ,2013-09-27 09:29:21.254620,A3034KR4301HA26280080024100000034009292123001900024300181002420002505300027686380ÿ,2013-09-27 09:29:21.247068
A3034KR4301HA26280080024200000014009291181001900024300181002410002488500027483745ÿ,2013-09-27 09:29:11.847622,A3034KR4301HA26280080024200000014009291181001900024300181002410002488500027483745ÿ,2013-09-27 09:29:11.838879
A3034KR4301HA26280080021200000014009252562001900023900181002130002130700023379445ÿ,2013-09-27 09:25:25.645712,A3034KR4301HA26280080021200000014009252562001900023900181002130002130700023379445ÿ,2013-09-27 09:25:25.637188
A3034KR4301HA26280080024100000014009291018001900024200181002420002485800027451095ÿ,2013-09-27 09:29:10.243619,A3034KR4301HA26280080024100000014009291018001900024200181002420002485800027451095ÿ,2013-09-27 09:29:10.239074
A3034KR4301HA26280080021900000144009241221001900023900181002180002013400022134755ÿ,2013-09-27 09:24:12.242747,A3034KR4301HA26280080021900000144009241221001900023900181002180002013400022134755ÿ,2013-09-27 09:24:12.233897
A3034KR4301HA26280080022000000044009242079001900023900181002210002019900022206230ÿ,2013-09-27 09:24:20.824744,A3034KR4301HA26280080022000000044009242079001900023900181002210002019900022206230ÿ,2013-09-27 09:24:20.815069
A3034KR4301HA26280080020800000014009245774001900023900181002090002107800023138160ÿ,2013-09-27 09:24:57.781750,A3034KR4301HA26280080020800000014009245774001900023900181002090002107800023138160ÿ,2013-09-27 09:24:57.777309
A3034KR4301HA26280080021500000024009242412001900023900181002140002034200022360720ÿ,2013-09-27 09:24:24.143746,A3034KR4301HA26280080021500000024009242412001900023900181002140002034200022360720ÿ,2013-09-27 09:24:24.140477
A3034KR4301HA26280080023700000044009301812001900024300181002380002565400028402605ÿ,2013-09-27 09:30:18.155623,A3034KR4301HA26280080023700000044009301812001900024300181002380002565400028402605ÿ,2013-09-27 09:30:18.144918
A3034KR4301HA26280080024100000024009292070001900024300181002420002505000027682765ÿ,2013-09-27 09:29:20.727620,A3034KR4301HA26280080024100000024009292070001900024300181002420002505000027682765ÿ,2013-09-27 09:29:20.725815
